"","Genus","Species"
"Otu00467","Acinetobacter","baumannii/populi/radioresistens"
"Otu00468",NA,NA
"Otu00469",NA,NA
"Otu00470",NA,NA
"Otu00471","Massilia","alkalitolerans/brevitalea/jejuensis/niabensis/suwonensis/timonae/varians"
"Otu00472",NA,NA
"Otu00473",NA,NA
"Otu00474",NA,NA
"Otu00475",NA,NA
"Otu00476",NA,NA
"Otu00479","Methylobacterium","aquaticum/indicum/platani"
"Otu00480",NA,NA
"Otu00482",NA,NA
"Otu00483",NA,NA
"Otu00484","Enterococcus","casseliflavus/faecium/flavescens/gallinarum/saccharolyticus"
"Otu00485",NA,NA
"Otu00486",NA,NA
"Otu00487",NA,NA
"Otu00488","Anaerococcus","obesiensis/vaginalis"
"Otu00489",NA,NA
"Otu00490",NA,NA
"Otu00491",NA,NA
"Otu00493",NA,NA
"Otu00494",NA,NA
"Otu00495",NA,NA
"Otu00496",NA,NA
"Otu00497",NA,NA
"Otu00498",NA,NA
"Otu00499",NA,NA
"Otu00500",NA,NA
"Otu00501",NA,NA
"Otu00502",NA,NA
"Otu00503",NA,NA
"Otu00504","Massilia","brevitalea/consociata/haematophila"
"Otu00505",NA,NA
"Otu00506",NA,"abortus/anthropi/canis/ceti/cytisi/grignonense/haematophilum/inopinata/intermedium/lupini/melitensis/microti/ovis/papionis/pecoris/pinnipedialis/pseudogrignonense/suis/thiophenivorans/tritici/vulpis"
"Otu00507",NA,NA
"Otu00508",NA,NA
"Otu00509",NA,NA
"Otu00510",NA,NA
"Otu00511","Pseudoxanthomonas","taiwanensis"
"Otu00514","Acinetobacter","harbinensis/lwoffii"
"Otu00515",NA,NA
"Otu00516",NA,NA
"Otu00517",NA,NA
"Otu00519",NA,NA
"Otu00520","Brevundimonas","bullata/halotolerans"
"Otu00522","Pseudomonas","pelagia/sabulinigri/xinjiangensis"
"Otu00523",NA,NA
"Otu00524",NA,NA
"Otu00525",NA,"abyssi/bermudensis/pacifica"
"Otu00526",NA,NA
"Otu00528",NA,NA
"Otu00529",NA,NA
"Otu00530",NA,NA
"Otu00531",NA,NA
"Otu00532","Gilvibacter","sediminis"
"Otu00533",NA,NA
"Otu00534",NA,NA
"Otu00535",NA,NA
"Otu00537",NA,NA
"Otu00538",NA,NA
"Otu00540",NA,NA
"Otu00541","Streptococcus","cristatus/sanguinis"
"Otu00542","Psychroserpens","mesophilus"
"Otu00543",NA,NA
"Otu00544",NA,NA
"Otu00545",NA,NA
"Otu00546",NA,NA
"Otu00547",NA,NA
"Otu00548",NA,NA
"Otu00549",NA,NA
"Otu00552","Stenotrophomonas","maltophilia/pavanii"
"Otu00553",NA,NA
"Otu00554",NA,NA
"Otu00555",NA,NA
"Otu00556",NA,NA
"Otu00558","Bacillus","bataviensis/flexus/horneckiae/kochii/pocheonensis"
"Otu00559",NA,NA
"Otu00560",NA,NA
"Otu00561",NA,NA
"Otu00562","Pseudoruegeria","limi"
"Otu00563",NA,NA
"Otu00564","Facklamia","ignava"
"Otu00566","Corynebacterium","appendicis"
"Otu00567",NA,NA
"Otu00570",NA,NA
"Otu00571",NA,NA
"Otu00572",NA,NA
"Otu00573",NA,NA
"Otu00575","Erythrobacter","odishensis/westpacificensis"
"Otu00576",NA,NA
"Otu00577",NA,NA
"Otu00578",NA,NA
"Otu00579",NA,NA
"Otu00580","Altererythrobacter","dongtanensis"
"Otu00581",NA,NA
"Otu00582",NA,NA
"Otu00583","Staphylococcus","haemolyticus"
"Otu00584",NA,"frisia/halophilus/neptunius/sabulilitoris"
"Otu00585","Micrococcus","lylae"
"Otu00586",NA,NA
"Otu00587","Paracoccus","alcaliphilus/sanguinis"
"Otu00589","Thauera","aminoaromatica/humireducens/mechernichensis"
"Otu00590",NA,NA
"Otu00591",NA,NA
"Otu00593",NA,NA
"Otu00594",NA,NA
"Otu00595","Novosphingobium","barchaimii/fluoreni/resinovorum"
"Otu00596",NA,NA
"Otu00597","Pseudomonas","deceptionensis/endophytica/fluorescens/fragi/helleri/lundensis/psychrophila/putida/syringae/taiwanensis/weihenstephanensis"
"Otu00598",NA,NA
"Otu00599",NA,NA
"Otu00600",NA,NA
"Otu00601",NA,NA
"Otu00602","Vibrio","areninigrae/coralliilyticus/harveyi/hispanicus"
"Otu00603",NA,NA
"Otu00604","Staphylococcus","epidermidis"
"Otu00605",NA,NA
"Otu00606",NA,NA
"Otu00607","Geobacillus","kaustophilus/stearothermophilus"
"Otu00608",NA,NA
"Otu00610",NA,NA
"Otu00611","Dietzia","cinnamea/maris/papillomatosis"
"Otu00612","Sphingomonas","aeria/echinoides/parapaucimobilis/paucimobilis/pseudosanguinis/sanguinis/yabuuchiae/zeae"
"Otu00614",NA,NA
