sample_name,tag.id,colony.color,depth.ft,samp.date,colonyDNA.id,UNIQUEID,land_ocean,sample_num,sensor_num,octo_num,samp_loc,sub_loc,branch_loc,branch_plate,sample.name,dom,cd_few,location,loc_samp_nam,dups,sample type
J5,961,Brown,6,7/19/19,J,J5,Ocean,5,NA,,Plate,edge,,B,J5,C,,Plate edge,Plate edge_J5,,sample
J6,961,Brown,6,7/19/19,J,J6,Ocean,6,NA,,Plate,underside,,B,J6,C,,Plate underside,Plate underside_J6,,sample
J7,961,Brown,6,7/19/19,J,J7,Ocean,7,2,Octo_3,Deepest,,,,J7,C,,Deepest,Deepest_J7,,sample
J8,961,Brown,6,7/19/19,J,J8,Ocean,8,3,Octo_3,Lowest,,,,J8,C,,Lowest,Lowest_J8,,sample
J9,961,Brown,6,7/19/19,J,J9,Land,9,NA,,Branch,tip,,C,J9,C,,Branch tip,Branch tip_J9,,sample
K1,981,Brown,8,7/19/19,K,K1,Ocean,1,0,Octo_1,Branch,tip,,A,K1,CD,,Branch tip,Branch tip_K1,,sample
K10,981,Brown,8,7/19/19,K,K10,Land,10,NA,,Branch,mid,Outer,C,K10,CD,,Branch mid,Branch mid_K10,,sample
K11,981,Brown,8,7/19/19,K,K11,Land,11,NA,,Branch,base,Inner,C,K11,CD,,Branch base,Branch base_K11,,sample
K12,981,Brown,8,7/19/19,K,K12,Land,12,4,Octo_1,Branch,tip,,D,K12,CD,,Branch tip,Branch tip_K12,,sample
K13,981,Brown,8,7/19/19,K,K13,Land,13,NA,,Branch,mid,Inner,D,K13,CD,,Branch mid,Branch mid_K13,,sample
K14,981,Brown,8,7/19/19,K,K14,Land,14,5,Octo_1,Branch,base,Outer,D,K14,CD,,Branch base,Branch base_K14,,sample
K15,981,Brown,8,7/19/19,K,K15,Land,15,6,Octo_1,Deepest,,,,K15,CD,,Deepest,Deepest_K15,,sample
K16,981,Brown,8,7/19/19,K,K16,Land,16,7,Octo_1,Lowest,,,,K16,CD,,Lowest,Lowest_K16,,sample
K2,981,Brown,8,7/19/19,K,K2,Ocean,2,NA,,Branch,mid,Inner,A,K2,CD,,Branch mid,Branch mid_K2,,sample
K3,981,Brown,8,7/19/19,K,K3,Ocean,3,1,Octo_1,Branch,base,Outer,A,K3,CD,,Branch base,Branch base_K3,,sample
K4,981,Brown,8,7/19/19,K,K4,Ocean,4,NA,,Branch,tip,,B,K4,CD,,Branch tip,Branch tip_K4,,sample
K5,981,Brown,8,7/19/19,K,K5,Ocean,5,NA,,Branch,mid,Outer,B,K5,CD,,Branch mid,Branch mid_K5,,sample
K6,981,Brown,8,7/19/19,K,K6,Ocean,6,NA,,Branch,base,Inner,B,K6,CD,,Branch base,Branch base_K6,,sample
K7,981,Brown,8,7/19/19,K,K7,Ocean,7,2,Octo_1,Deepest,,,,K7,CD,,Deepest,Deepest_K7,,sample
K8,981,Brown,8,7/19/19,K,K8,Ocean,8,3,Octo_1,Lowest,,,,K8,CD,,Lowest,Lowest_K8,,sample
K9,981,Brown,8,7/19/19,K,K9,Land,9,NA,,Branch,tip,,C,K9,CD,,Branch tip,Branch tip_K9,,sample
L1,967,Orange,7,7/22/19,L,L1,Ocean,1,0,Octo_4,Branch,tip,,A,L1,C,,Branch tip,Branch tip_L1,,sample
L10,967,Orange,7,7/22/19,L,L10,Land,10,NA,,Branch,mid,Outer,C,L10,C,,Branch mid,Branch mid_L10,,sample
L11,967,Orange,7,7/22/19,L,L11,Land,11,NA,,Branch,base,Outer,C,L11,C,,Branch base,Branch base_L11,,sample
L12,967,Orange,7,7/22/19,L,L12,Land,12,4,Octo_4,Branch,tip,,D,L12,C,,Branch tip,Branch tip_L12,,sample
L13,967,Orange,7,7/22/19,L,L13,Land,13,NA,,Branch,mid,Outer,D,L13,C,,Branch mid,Branch mid_L13,,sample
L14,967,Orange,7,7/22/19,L,L14,Land,14,5,Octo_4,Branch,base,Inner,D,L14,C,,Branch base,Branch base_L14,,sample
L15,967,Orange,7,7/22/19,L,L15,Land,15,6,Octo_4,Deepest,,,,L15,C,,Deepest,Deepest_L15,,sample
L16,967,Orange,7,7/22/19,L,L16,Land,16,7,Octo_4,Lowest,,,,L16,C,,Lowest,Lowest_L16,,sample
L2,967,Orange,7,7/22/19,L,L2,Ocean,2,NA,,Branch,mid,Outer,A,L2,C,,Branch mid,Branch mid_L2,,sample
L3,967,Orange,7,7/22/19,L,L3,Ocean,3,1,Octo_4,Branch,base,Inner,A,L3,C,,Branch base,Branch base_L3,,sample
L4,967,Orange,7,7/22/19,L,L4,Ocean,4,NA,,Branch,tip,,B,L4,C,,Branch tip,Branch tip_L4,,sample
L5,967,Orange,7,7/22/19,L,L5,Ocean,5,NA,,Branch,mid,Outer,B,L5,C,,Branch mid,Branch mid_L5,,sample
L6,967,Orange,7,7/22/19,L,L6,Ocean,6,NA,,Branch,base,Outer,B,L6,C,,Branch base,Branch base_L6,,sample
L7,967,Orange,7,7/22/19,L,L7,Ocean,7,2,Octo_4,Deepest,,,,L7,C,,Deepest,Deepest_L7,,sample
L8,967,Orange,7,7/22/19,L,L8,Ocean,8,3,Octo_4,Lowest,,,,L8,C,,Lowest,Lowest_L8,,sample
L9,967,Orange,7,7/22/19,L,L9,Land,9,NA,,Branch,tip,,C,L9,C,,Branch tip,Branch tip_L9,,sample
M1,983,Brown,8,7/22/19,M,M1,Ocean,1,0,Octo_5,Branch,tip,,A,M1,C,,Branch tip,Branch tip_M1,,sample
