TagID,Colony Color,Depth.ft,Samp.Date,ColonyDNA.ID,UNIQUEID,Land_Ocean,SampleNum,SampLoc,Sub.loc,BranchLoc,Sample_name,Zoox,CD_few,Location,LocSamp
978,Brown,8,7/18/19,H,H2,Ocean,2,Branch  ,mid,Outer,H2,C,,Branch mid,Branch mid_H2
978,Brown,8,7/18/19,H,H3,Ocean,3,Branch  ,base,Outer,H3,C,,Branch base,Branch base_H3
978,Brown,8,7/18/19,H,H4,Ocean,4,Branch ,tip,,H4,C,,Branch tip,Branch tip_H4
978,Brown,8,7/18/19,H,H5,Ocean,5,Branch  ,mid,Inner,H5,C,,Branch mid,Branch mid_H5
978,Brown,8,7/18/19,H,H6,Ocean,6,Branch  ,base,Inner,H6,C,,Branch base,Branch base_H6
978,Brown,8,7/18/19,H,H7,Ocean,7,Deepest,,,H7,C,,Deepest,Deepest_H7
978,Brown,8,7/18/19,H,H8,Ocean,8,Lowest,,,H8,C,,Lowest,Lowest_H8
978,Brown,8,7/18/19,H,H9,Land,9,Branch ,tip,,H9,C,,Branch tip,Branch tip_H9
978,Brown,8,7/18/19,H,H10,Land,10,Branch  ,mid,Outer,H10,C,,Branch mid,Branch mid_H10
978,Brown,8,7/18/19,H,H11,Land,11,Branch  ,base,Outer,H11,C,,Branch base,Branch base_H11
978,Brown,8,7/18/19,H,H12,Land,12,Branch ,tip,,H12,C,,Branch tip,Branch tip_H12
978,Brown,8,7/18/19,H,H13,Land,13,Branch  ,mid,Outer,H13,C,,Branch mid,Branch mid_H13
978,Brown,8,7/18/19,H,H14,Land,14,Branch  ,base,Outer,H14,C,,Branch base,Branch base_H14
978,Brown,8,7/18/19,H,H15,Land,15,Deepest,,,H15,C,,Deepest,Deepest_H15
978,Brown,8,7/18/19,H,H16,Land,16,Lowest,,,H16,C,,Lowest,Lowest_H16
963,Orange,7,7/18/19,I,I1,Ocean,1,Branch ,tip,,I1,CD,Few,Branch tip,Branch tip_I1
963,Orange,7,7/18/19,I,I2,Ocean,2,Branch  ,mid,Outer,I2,CD,Few,Branch mid,Branch mid_I2
963,Orange,7,7/18/19,I,I3,Ocean,3,Branch  ,base,Inner,I3,CD,Few,Branch base,Branch base_I3
963,Orange,7,7/18/19,I,I4,Ocean,4,Branch ,tip,,I4,CD,Few,Branch tip,Branch tip_I4
963,Orange,7,7/18/19,I,I5,Ocean,5,Branch  ,mid,Outer,I5,CD,Few,Branch mid,Branch mid_I5
963,Orange,7,7/18/19,I,I6,Ocean,6,Branch  ,base,Outer,I6,CD,Few,Branch base,Branch base_I6
963,Orange,7,7/18/19,I,I7,Ocean,7,Deepest,,,I7,CD,Few,Deepest,Deepest_I7
963,Orange,7,7/18/19,I,I8,Ocean,8,Lowest,,,I8,CD,Few,Lowest,Lowest_I8
963,Orange,7,7/18/19,I,I9,Land,9,Branch ,tip,,I9,CD,Few,Branch tip,Branch tip_I9
